provider,sample_id,stratum,entity_name,probe_symbol,raw_ohlcv,open_close_semantics,adjusted_close,adjustment_method,splits,dividends,listing_date,delisting_date,delisting_reason,historical_exchange_security_type,identifier_mapping,ticker_validity_intervals
eodhd,active_aapl,active,Apple Inc.,AAPL.US,observed,documented_partial,observed,documented_partial,observed,observed,documented_partial,documented_partial,not_documented,documented_partial,blocked,documented_partial
eodhd,active_msft,active,Microsoft Corporation,MSFT.US,documented,documented_partial,documented,documented_partial,documented_gap,documented_gap,documented_partial,documented_partial,not_documented,documented_partial,documented_partial,documented_partial
eodhd,active_cost,active,Costco Wholesale Corporation,COST.US,documented,documented_partial,documented,documented_partial,documented_gap,documented_gap,documented_partial,documented_partial,not_documented,documented_partial,documented_partial,documented_partial
eodhd,active_mnst,active,Monster Beverage Corporation,MNST.US,documented,documented_partial,documented,documented_partial,documented_gap,documented_gap,documented_partial,documented_partial,not_documented,documented_partial,documented_partial,documented_partial
eodhd,acquired_twtr,acquired,"Twitter, Inc.",TWTR.US,documented,documented_partial,documented,documented_partial,documented_gap,documented_gap,documented_partial,documented_partial,not_documented,documented_partial,documented_partial,documented_partial
eodhd,acquired_atvi,acquired,"Activision Blizzard, Inc.",ATVI.US,documented,documented_partial,documented,documented_partial,documented_gap,documented_gap,documented_partial,documented_partial,not_documented,documented_partial,documented_partial,documented_partial
eodhd,acquired_vmw,acquired,"VMware, Inc.",VMW.US,documented,documented_partial,documented,documented_partial,documented_gap,documented_gap,documented_partial,documented_partial,not_documented,documented_partial,documented_partial,documented_partial
eodhd,acquired_splk,acquired,Splunk Inc.,SPLK.US,documented,documented_partial,documented,documented_partial,documented_gap,documented_gap,documented_partial,documented_partial,not_documented,documented_partial,documented_partial,documented_partial
eodhd,bankrupt_bbbyq,bankrupt,Bed Bath & Beyond Inc.,BBBY.US,documented,documented_partial,documented,documented_partial,documented_gap,documented_gap,documented_partial,documented_partial,not_documented,documented_partial,documented_partial,documented_partial
eodhd,bankrupt_sivbq,bankrupt,SVB Financial Group,SIVB.US,documented,documented_partial,documented,documented_partial,documented_gap,documented_gap,documented_partial,documented_partial,not_documented,documented_partial,documented_partial,documented_partial
eodhd,bankrupt_revq,bankrupt,"Revlon, Inc.",REV.US,documented,documented_partial,documented,documented_partial,documented_gap,documented_gap,documented_partial,documented_partial,not_documented,documented_partial,documented_partial,documented_partial
eodhd,bankrupt_yellq,bankrupt,Yellow Corporation,YELL.US,documented,documented_partial,documented,documented_partial,documented_gap,documented_gap,documented_partial,documented_partial,not_documented,documented_partial,documented_partial,documented_partial
eodhd,otc_fnma,otc_moved,Federal National Mortgage Association,FNMA.US,documented,documented_partial,documented,documented_partial,documented_gap,documented_gap,documented_partial,documented_partial,not_documented,documented_partial,documented_partial,documented_partial
eodhd,otc_fmcc,otc_moved,Federal Home Loan Mortgage Corporation,FMCC.US,documented,documented_partial,documented,documented_partial,documented_gap,documented_gap,documented_partial,documented_partial,not_documented,documented_partial,documented_partial,documented_partial
eodhd,otc_lkncy,otc_moved,Luckin Coffee Inc.,LK.US,documented,documented_partial,documented,documented_partial,documented_gap,documented_gap,documented_partial,documented_partial,not_documented,documented_partial,documented_partial,documented_partial
eodhd,otc_didiy,otc_moved,DiDi Global Inc.,DIDI.US,documented,documented_partial,documented,documented_partial,documented_gap,documented_gap,documented_partial,documented_partial,not_documented,documented_partial,documented_partial,documented_partial
eodhd,recycled_gm,ticker_recycled,General Motors Company,GM.US,documented,documented_partial,documented,documented_partial,documented_gap,documented_gap,documented_partial,documented_partial,not_documented,documented_partial,documented_partial,documented_partial
eodhd,recycled_s,ticker_recycled,"SentinelOne, Inc.",S.US,documented,documented_partial,documented,documented_partial,documented_gap,documented_gap,documented_partial,documented_partial,not_documented,documented_partial,documented_partial,documented_partial
eodhd,recycled_czr,ticker_recycled,"Caesars Entertainment, Inc.",CZR.US,documented,documented_partial,documented,documented_partial,documented_gap,documented_gap,documented_partial,documented_partial,not_documented,documented_partial,documented_partial,documented_partial
eodhd,recycled_life,ticker_recycled,"aTyr Pharma, Inc.",LIFE.US,documented,documented_partial,documented,documented_partial,documented_gap,documented_gap,documented_partial,documented_partial,not_documented,documented_partial,documented_partial,documented_partial
eodhd,multiclass_brkb,multi_class,Berkshire Hathaway Inc. Class B,BRK-B.US,documented,documented_partial,documented,documented_partial,documented_gap,documented_gap,documented_partial,documented_partial,not_documented,documented_partial,documented_partial,documented_partial
eodhd,multiclass_goog,multi_class,Alphabet Inc. Class C,GOOG.US,documented,documented_partial,documented,documented_partial,documented_gap,documented_gap,documented_partial,documented_partial,not_documented,documented_partial,documented_partial,documented_partial
eodhd,multiclass_fox,multi_class,Fox Corporation Class B,FOX.US,documented,documented_partial,documented,documented_partial,documented_gap,documented_gap,documented_partial,documented_partial,not_documented,documented_partial,documented_partial,documented_partial
eodhd,multiclass_nws,multi_class,News Corporation Class B,NWS.US,documented,documented_partial,documented,documented_partial,documented_gap,documented_gap,documented_partial,documented_partial,not_documented,documented_partial,documented_partial,documented_partial
eodhd,reverse_ge,reverse_split,General Electric Company,GE.US,documented,documented_partial,documented,documented_partial,documented_gap,documented_gap,documented_partial,documented_partial,not_documented,documented_partial,documented_partial,documented_partial
eodhd,reverse_c,reverse_split,Citigroup Inc.,C.US,documented,documented_partial,documented,documented_partial,documented_gap,documented_gap,documented_partial,documented_partial,not_documented,documented_partial,documented_partial,documented_partial
eodhd,reverse_aig,reverse_split,"American International Group, Inc.",AIG.US,documented,documented_partial,documented,documented_partial,documented_gap,documented_gap,documented_partial,documented_partial,not_documented,documented_partial,documented_partial,documented_partial
eodhd,reverse_bkng,reverse_split,Booking Holdings Inc.,BKNG.US,documented,documented_partial,documented,documented_partial,documented_gap,documented_gap,documented_partial,documented_partial,not_documented,documented_partial,documented_partial,documented_partial
eodhd,pre2018_enrnq,pre_2018_delisted,Enron Corp.,ENE.US,documented,documented_partial,documented,documented_partial,documented_gap,documented_gap,documented_partial,documented_partial,not_documented,documented_partial,documented_partial,documented_partial
eodhd,pre2018_lehmq,pre_2018_delisted,Lehman Brothers Holdings Inc.,LEH.US,documented,documented_partial,documented,documented_partial,documented_gap,documented_gap,documented_partial,documented_partial,not_documented,documented_partial,documented_partial,documented_partial
